Course Code,Name,Leveled?,Has level 3 CP,Has level 2 CP,Has level 1 (Honors),Has level 5 (Enriched),Has level 7 (AP),Keywords (separate by commas)
WL22X,French 2,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,
WL23X,French 3,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,
WL241,French Language and Culture,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
WL251,French Conversation,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,
WL261,Contemporary French Society,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,
WL277,AP French,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,
WL31X,Latin I,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,
WL32X,Latin II,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,
WL33X,Latin III,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,
WL34X,Latin IV,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,
WL351,Latin V,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,
WL41X,Mandarin Chinese 1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,
WL42X,Mandarin Chinese 2,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,
WL43X,Mandarin Chinese 3,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,
WL44X,Mandarin Chinese 4,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,
WL457,AP Chinese for Heritage Learners,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,
WL00X,Beginner Spanish,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,
WL10X,Advanced Beginner Spanish,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,
WL11X,Pre-Intermediate Spanish,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,
WL12X,Spanish 2,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,
WL13X,Spanish 3,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,
WL141,Hispanic Language and Culture,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,spanish
WL15X,Spanish Conversation,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,
WL16X,Latin American Studies,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,spanish
WL17X,Latinos in the USA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,spanish
WL187,AP Spanish,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,
DL112,Marketing,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,
DL100,Entrepreneurship,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
DL200,Film/Video Production,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
DL230,Advanced Film/Video Production,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
DL240,Broadcast Journalism,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
DL245,Broadcast Journalism (Full Year),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
DL400,Web Design I,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
DL430,Web Design II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
DL420,Andover Innovation Design Lab,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
DL300,Yearbook Publication,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA10X,Concert Choir,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
FA11X,Chamber Choir,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
FA12X,Concert Band,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA010,Improvisational Theatre,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA020,Technical Theatre,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
FA060,Music Theory,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
